,STATION,Day,Time_Range,Total_Traffic
11811,MORISN AV/SNDVW,Monday,12:00 to 16:00,2298.25
11812,MORISN AV/SNDVW,Monday,16:00 to 20:00,2906.25
11813,MORISN AV/SNDVW,Monday,20:00 to 00:00,1478.25
11814,MORISN AV/SNDVW,Saturday,00:00 to 04:00,427.25
11815,MORISN AV/SNDVW,Saturday,04:00 to 08:00,854.25
11816,MORISN AV/SNDVW,Saturday,08:00 to 12:00,1275.75
11817,MORISN AV/SNDVW,Saturday,12:00 to 16:00,1420.5
11818,MORISN AV/SNDVW,Saturday,16:00 to 20:00,1359.75
11819,MORISN AV/SNDVW,Saturday,20:00 to 00:00,983.0
11820,MORISN AV/SNDVW,Sunday,00:00 to 04:00,406.5
11821,MORISN AV/SNDVW,Sunday,04:00 to 08:00,703.75
11822,MORISN AV/SNDVW,Sunday,08:00 to 12:00,1296.0
11823,MORISN AV/SNDVW,Sunday,12:00 to 16:00,1651.5
11824,MORISN AV/SNDVW,Sunday,16:00 to 20:00,1598.75
11825,MORISN AV/SNDVW,Sunday,20:00 to 00:00,1095.25
11826,MORISN AV/SNDVW,Thursday,00:00 to 04:00,540.75
11827,MORISN AV/SNDVW,Thursday,04:00 to 08:00,2595.0
11828,MORISN AV/SNDVW,Thursday,08:00 to 12:00,2209.25
11829,MORISN AV/SNDVW,Thursday,12:00 to 16:00,2266.25
11830,MORISN AV/SNDVW,Thursday,16:00 to 20:00,2961.0
11831,MORISN AV/SNDVW,Thursday,20:00 to 00:00,1585.0
11832,MORISN AV/SNDVW,Tuesday,00:00 to 04:00,440.75
11833,MORISN AV/SNDVW,Tuesday,04:00 to 08:00,3102.75
11834,MORISN AV/SNDVW,Tuesday,08:00 to 12:00,2568.375
11835,MORISN AV/SNDVW,Tuesday,12:00 to 16:00,2219.125
11836,MORISN AV/SNDVW,Tuesday,16:00 to 20:00,3063.25
11837,MORISN AV/SNDVW,Tuesday,20:00 to 00:00,1558.75
11838,MORISN AV/SNDVW,Wednesday,00:00 to 04:00,498.0
11839,MORISN AV/SNDVW,Wednesday,04:00 to 08:00,3028.75
11840,MORISN AV/SNDVW,Wednesday,08:00 to 12:00,2307.75
11841,MORISN AV/SNDVW,Wednesday,12:00 to 16:00,1987.0
11842,MORISN AV/SNDVW,Wednesday,16:00 to 20:00,2982.75
11843,MORISN AV/SNDVW,Wednesday,20:00 to 00:00,1575.5
11844,MORRIS PARK,Friday,00:00 to 04:00,58.0
11845,MORRIS PARK,Friday,04:00 to 08:00,1608.0
11846,MORRIS PARK,Friday,08:00 to 12:00,639.25
11847,MORRIS PARK,Friday,12:00 to 16:00,1129.5
11848,MORRIS PARK,Friday,16:00 to 20:00,1238.5
11849,MORRIS PARK,Friday,20:00 to 00:00,279.25
11850,MORRIS PARK,Monday,00:00 to 04:00,3.75
11851,MORRIS PARK,Monday,04:00 to 08:00,1687.25
11852,MORRIS PARK,Monday,08:00 to 12:00,622.25
11853,MORRIS PARK,Monday,12:00 to 16:00,1113.25
11854,MORRIS PARK,Monday,16:00 to 20:00,1375.5
11855,MORRIS PARK,Monday,20:00 to 00:00,361.75
11856,MORRIS PARK,Saturday,00:00 to 04:00,17.25
11857,MORRIS PARK,Saturday,04:00 to 08:00,3.75
11858,MORRIS PARK,Saturday,08:00 to 12:00,0.0
11859,MORRIS PARK,Saturday,12:00 to 16:00,0.25
11860,MORRIS PARK,Saturday,16:00 to 20:00,0.5
11861,MORRIS PARK,Saturday,20:00 to 00:00,0.75
11862,MORRIS PARK,Sunday,00:00 to 04:00,0.0
11863,MORRIS PARK,Sunday,04:00 to 08:00,1.25
11864,MORRIS PARK,Sunday,08:00 to 12:00,0.75
11865,MORRIS PARK,Sunday,12:00 to 16:00,0.0
11866,MORRIS PARK,Sunday,16:00 to 20:00,0.0
11867,MORRIS PARK,Sunday,20:00 to 00:00,0.5
11868,MORRIS PARK,Thursday,00:00 to 04:00,62.75
11869,MORRIS PARK,Thursday,04:00 to 08:00,1776.25
